food_barcode,food_id,food_name,metric_serving_amount,metric_serving_unit,serving_description_num,serving_description_measurement,calories,fat,carbohydrate,protein,added_sugars,calcium,fiber,iron,monounsaturated_fat,polyunsaturated_fat,potassium,saturated_fat,sodium,sugar,trans_fat,vitamin_a,vitamin_c,vitamin_d
'078742369266,3497878,Lowfat Yogurt - Vanilla,225,g,1,cup,190,2,38,6,,,0,,,,300,1,105,32,0,,,
'041570110621,41694,Whole Natural Almonds,28.34,oz,24,nuts,160,14,6,6,0,70,3,1.1,9,3.5,200,1,0,1,0,,,0
'705016331505,4690697,Super Mass Gainer,334,g,2,scoops,1280,10,252,52,,,,,,,2210,3,510,19,,,,
'027917022703,2325541,MultiVites Gummy Vitamins,0,0,2,gummies,15,0,4,0,3,3,0,0,0,0,0,0,10,3,0,720,36,25
'745042001553,14027626,Basmati Rice (raw),45,g,0.25,cup,160,0,36,3,0,2,0,0,,,0,0,0,0,0,,,0
'034856008187,5723381,Fruit Snacks Mixed Fruit (25.5g),22.7,g,1,package,70,0,17,1,9,,0,,,,,0,20,11,,230,23,
'078742146294,28227427,Frozen Bananas,140,g,1,cup,80,0,18,1,0,0,2,0.4,,,150,0,0,14,0,,,0
'041383090707,233630,100% Lactose Free Fat Free Milk,240,ml,1,cup,90,0,13,8,,310,0,0.1,,,420,0,125,12,,150,0,3
'078742158792,12239748,String Cheese,28,g,1,stick,80,6,0,7,,,0,,1.5,0,35,3,190,0,0,,,
'078742083360,102340,Extra Virgin Olive Oil,15,ml,1,tbsp,120,14,0,0,0,0,0,0,10,2,0,2,0,0,0,,,0
'078742133652,42169992,Cooked Shrimp,84,g,3,oz,50,0,0,12,0,130,0,0.5,,,45,0,710,0,0,,,0
,,Sweet and Sour Chicken,350,g,,,500,13,31,63,,,,,,,,,,,,,,
,,Basmati Rice (cooked),180,g,,,213.3333333,0,48,4,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0
'030000012000,4358509,Quick Oats,40,g,0.5,cup,150,3,27,5,,20,4,1.7,1,1,140,0.5,0,1,0,,,0
'074822300006,8389594,100% Pure Peanut Powder,12,g,2,tbsp,50,1.5,4,6,0,0,2,0.3,0,0,157,0,0,0.5,0,0,0,0
'078742014678,230896,Pineapple Juice (Not from Concentrate),240,ml,8,fl oz,130,0,32,1,,,1,,,,,0,140,30,,,,
'072878621441,3910714,Salsa Verde,31,g,2,tbsp,10,0,2,0,0,,0,,,,60,0,230,1,0,,,
'072878517898,343797,Casera Mild Salsa,31,g,2,tbsp,10,0,2,0,,,0,,,,,0,220,1,,,,
'044500966503,49722,Deli Select Ultra Thin Honey Ham,56,g,2,oz,70,2.5,4,9,,,0,,,,,1,570,3,0,,,
'046100002728,71939,Wisconsin Extra Sharp Cheddar Cheese,20,g,1,slice,80,7,0,5,,,0,,,,,4,125,0,,,,
'078742430218,35617266,Monterey Jack Cheese,28,g,1,oz,100,8,0,7,,,0,,0,0,0,4.5,170,0,0,,,
'078742075761,46836,Black Beans,130,g,0.5,cup,120,0.5,22,7,,50,6,1.7,0,0,480,0,410,0,0,,,
'078742371870,274065,Mushrooms Pieces & Stems,113,g,0.75,cup drained,30,0,3,3,0,13,3,0.9,,,94,0,320,3,0,,,0
'078742113784,7186636,Creamy Peanut Butter,32,g,2,tbsp,180,15,8,7,2,19,2,0.5,8,4.5,184,2.5,135,4,0,,,0
'016000264601,41938,Crunchy Granola Bars - Oats 'N Honey,42,g,1,bars,190,7,29,3,11,0,2,1.08,,,0,1,140,11,0,,,0
'860006036249,51051064,Crunchy Roasted Edamame Beans,30,g,0.333333333,cup,100,4,6,11,0,50,4,2,,,200,1,150,2,,,,0
'016000432680,11597330,Granola Crunch Oats & Honey,21,g,1,bar,100,3.5,19,2,6,,1,,3,1,,0,70,7,0,,,
'051000015273,99669,Cream of Chicken & Mushroom Soup,120,ml,0.5,cup condensed,120,8,9,2,,,4,,2,2,70,2,830,1,0,,,
'072878515276,2882112,Nopalitos Tender Cactus,50,g,0.25,cup,5,0,1,0,,30,,,,,,,540,,,,,
'033383666044,7047443,Baby-Cut Carrots,85,g,3,oz,30,0,7,1,,20,2,0.4,0,0,270,0,65,5,0,300,7,
'078742346168,47695470,Diced Avocados (Frozen),50,g,0.333333333,cup,80,7,4,1,,10,3,0.3,,,240,1,10,,,,,
'748927021356,12396969,Creatine,5,g,1,tsp,0,0,0,0,,,0,,0,0,0,0,0,0,0,,,
'031604014162,5384056,Fish Oil 1200Mg,,,2,softgels,35,3,1,0.5,,,0,,0.5,1,,1,0,0,0,,,
'031604025762,7640903,Magnesium,,,1,softgel,10,0.5,0,0,,,0,,0,0,0,0.5,0,0,0,,,
'016500540991,54772065,Calcium Supplement,,,2,capsule,5,0,0,0,0,650,0,0,0,0,0,0,5,0,0,0,0,25
'080660957579,2114632,Beer,12,oz,1,bottle,143,0,13.6,1.1,,,,,0,0,,0,,0,0,,,
'027917271736,35053057,Extra Strength Melatonin Gummies,,,2,gummies,10,0,3,0,,,0,,,,,,0,3,,,,
'664183000617,526838,Tilapia,112,g,1,serving,120,2.5,0,23,,,,,,,,,,,,,,
'753950002500,,Vitamin d3 5000iu,,,1,softgel,,,,,,,,,,,,,,,,,,125
'715141113563,65700,Extra Large Grade A Eggs,56,g,1,egg,70,4.5,0,7,0,30,0,1,2,1,0,1.5,70,0,0,,,7
'044500201994,20386409,Ultra Thin Oven Roasted Turkey Breast,56,g,2,oz,60,1.5,2,10,,0,0,,,,0,0,490,0,0,0,0,0
'027331000608,5599273,Corn Tortillas,50,g,2,tortillas,100,1,19,3,,,1,,,,,1,20,0,0,,,
'072250037068,205833,Honey Wheat Sliced Bread,31,g,1,slice,70,0.5,13,3,2,50,1,1,,,60,0,125,2,,,,
,,AGUACATE,50,g,0,,240,22,12.8,3,,,,,,,,,,,,,,
,,ALMENDRAS,1,oz,0,,160,14,6,6,,,,,,,,,,,,,,
,,ARROZ,59,,0,,210,0,49,4,,,,,,,,,,,,,,
,,ATUN,1,can drained,113,g,80,1,0,17,,,,,,,,,,,,,,
,,CACAHUATES,1,oz,28,g,180,15,4,8,,,,,,,,,,,,,,
,,CHAYOTE,113,g,0,,18,0.2,3.8,1.4,,,,,,,,,,,,,,
,,CREMA,1,Tbsp,15,g,23,25,1,1,,,,,,,,,,,,,,
,,ESPINACAS,3,cups,85,g,20,0,3,2,,,,,,,,,,,,,,
,,FRESAS,1,Cup,140,g,70,0,18,0,,,,,,,,,,,,,,
,,FRIJOLES,0.5,,0,,110,0,20,7,,,,,,,,,,,,,,
,,GARBANZOS,0.5,Cup,130,g,120,2,20,6,,,,,,,,,,,,,,
,,HUEVO,1,egg,50,g,70,5,0,6,,,,,,,,,,,,,,
,,JAMON,56,,0,,70,2.5,4,9,,,,,,,,,,,,,,
,,JAMON DE PAVO,56,,0,,50,1,2,9,,,,,,,,,,,,,,
,,JITOMATE,1,jitomate,,,32,0.4,7,1,,,,,,,,,,,,,,
,,LECHE,240,,0,,130,5,13,8,,,,,,,,,,,,,,
,,LECHUGA,1.5,cup,85,g,10,0,3,1,,,,,,,,,,,,,,
,,MANZANA,6.8,oz,0,,80,0,34,0,,,,,,,,,,,,,,
,,MELON,156,g,0,,53,0.3,12.7,1.3,,,,,,,,,,,,,,
,,MOLIDA DE RES,112,g,0,,170,8,0,23,,,,,,,,,,,,,,
,,NARANJA,1,cup,0,,62,0.7,13.8,2,,,,,,,,,,,,,,
,,NOPALES,0.25,Cup Drained,0,,5,0,1,0,,,,,,,,,,,,,,
,,NUEZ,1,oz,28,g,190,18,4,4,,,,,,,,,,,,,,
,,PAN INTEGRAL,1,Slice,26,g,70,0.5,13,3,,,,,,,,,,,,,,
,,PAPAYA,0,,0,,62,0.4,15.7,0.68,,,,,,,,,,,,,,
,,PASTA,0.75,cup,56,g,200,1,41,7,,,,,,,,,,,,,,
,,PEPINO,80,g,0,,8,0.1,1.9,0.34,,,,,,,,,,,,,,
,,PLATANO,101,g,0,,90,0,0,1.1,,,,,,,,,,,,,,
,,POLLO PECHUGA,0,,0,,140,4,0,25,,,,,,,,,,,,,,
,,QUESO,1,oz,0,,90,7,1,6,,,,,,,,,,,,,,
,,QUESO OAXACA,1,oz,28,g,100,8,0,7,,,,,,,,,,,,,,
,,SALMON,4,oz,112,g,2,15,19,23,,,,,,,,,,,,,,
,,SALSA MEXICANA,31,,0,,10,0,2,0,,,,,,,,,,,,,,
,,SQUASH,98,g,0,,21,0.4,3.9,1.5,,,,,,,,,,,,,,
,,TORTILLA DE HARINA,1,tortilla,49,g,140,3,26,4,,,,,,,,,,,,,,
,,TORTILLA DE MAIZ,2,Tortillas,47,g,100,1.5,20,2,,,,,,,,,,,,,,
,,TOSTADAS HORNEADAS,2,TOSTADAS,0,,150,6,22,2,,,,,,,,,,,,,,
,,UVAS,1.5,cup,0,,90,1,24,1,,,,,,,,,,,,,,
,,YOGURT,0.75,Cup,170,g,130,1.5,26,5,,,,,,,,,,,,,,
,,ZANAHORIA,85,g,0,,35,0,8,1,,,,,,,,,,,,,,
'048313061615,42075520,Hot Smoked Coho Salmon,57,g,2,oz,130,9,1,13,1,6,0,0,,,170,1.5,750,1,0,,,6
'605806122347,1503194,Valley Fresh Steamers Broccoli Florets,96,g,0.75,cup prepared,20,0,4,2,,,2,,0,0,230,0,20,2,0,,,
'745042002017,54772024,Authentic Basmati Rice (fancy),45.0,g,0.25,cup,160.0,0.0,36.0,4.0,0.0,2.0,1.0,,,,63.0,0.0,0.0,0.0,0.0,,,
'078742429779,122981,Frozen Whole Strawberries,140.0,g,1.0,cup,50.0,0.0,13.0,1.0,,20.0,3.0,1.1,0.0,0.0,210.0,0.0,0.0,6.0,0.0,,58.0,
'078742429779,122981,Frozen Whole Strawberries,140.0,g,1.0,cup,50.0,0.0,13.0,1.0,,20.0,3.0,1.1,0.0,0.0,210.0,0.0,0.0,6.0,0.0,,58.0,
'027917271736,35053057,Extra Strength Melatonin Gummies,,,2.0,gummies,10.0,0.0,3.0,0.0,,,0.0,,,,,,0.0,3.0,,,,
'078742429779,122981,Frozen Whole Strawberries,140.0,g,1.0,cup,50.0,0.0,13.0,1.0,,20.0,3.0,1.1,0.0,0.0,210.0,0.0,0.0,6.0,0.0,,58.0,
'078742429779,122981,Frozen Whole Strawberries,140.0,g,1.0,cup,50.0,0.0,13.0,1.0,,20.0,3.0,1.1,0.0,0.0,210.0,0.0,0.0,6.0,0.0,,58.0,
'027917271736,35053057,Extra Strength Melatonin Gummies,,,2.0,gummies,10.0,0.0,3.0,0.0,,,0.0,,,,,,0.0,3.0,,,,
'078742429779,122981,Frozen Whole Strawberries,140.0,g,1.0,cup,50.0,0.0,13.0,1.0,,20.0,3.0,1.1,0.0,0.0,210.0,0.0,0.0,6.0,0.0,,58.0,
'078742429779,122981,Frozen Whole Strawberries,140.0,g,1.0,cup,50.0,0.0,13.0,1.0,,20.0,3.0,1.1,0.0,0.0,210.0,0.0,0.0,6.0,0.0,,58.0,
'027917271736,35053057,Extra Strength Melatonin Gummies,,,2.0,gummies,10.0,0.0,3.0,0.0,,,0.0,,,,,,0.0,3.0,,,,
